Title,Latitude,Longitude
Cupid,34.219916,-77.879318
Billy,34.219916,-77.879318
Dave,34.219916,-77.879318
Lucy,34.219916,-77.879318
Paris,34.219916,-77.879318
William,34.219916,-77.879318
Peter,34.219916,-77.879318
Lydia,34.219916,-77.879318
Hannah,34.219916,-77.879318
Jim,34.219916,-77.879318
Anthony,34.219916,-77.879318
Redick,34.219916,-77.879318
Sam,34.219916,-77.879318
Sandy,34.219916,-77.879318
John,34.219916,-77.879318
Simon,34.219916,-77.879318
Harry,34.219916,-77.879318
Burwell,34.219916,-77.879318
Ben,34.219916,-77.879318
Romeo,34.219916,-77.879318
Jane,34.219916,-77.879318
James,34.219916,-77.879318
Job,34.219916,-77.879318
Julius,34.219916,-77.879318
Kitty,34.219916,-77.879318
Margaret,34.219916,-77.879318
Morris,34.219916,-77.879318
Nancy,34.219916,-77.879318
Philip,34.219916,-77.879318
Roger,34.219916,-77.879318
Edward,34.219916,-77.879318
Absalom,34.219916,-77.879318
Gilbert,34.219916,-77.879318
Isaac,34.219916,-77.879318
Caesar,34.219916,-77.879318
Jack,34.219916,-77.879318
William,34.541195,-77.922368
Adam,34.632898,-79.001653
Charles,34.632898,-79.001653
Atta,34.632898,-79.001653
Isaac,34.632898,-79.001653
Andrew,34.632898,-79.001653
Jerry,34.632898,-79.001653
Ben,34.632898,-79.001653
Shadrack,34.632898,-79.001653
Ralph,34.632898,-79.001653
Moses,34.632898,-79.001653
Dick,34.632898,-79.001653
Mathias,34.632898,-79.001653
Carlisle,34.632898,-79.001653
Alfred,34.632898,-79.001653
Sandy,34.632898,-79.001653
Collins,34.767382,-77.425318
Anthony,34.767382,-77.425318
Lodrick,34.767382,-77.425318
Linkfield,34.767382,-77.425318
Sal,34.767382,-77.425318
Virgil,34.767382,-77.425318
Carry,34.767382,-77.425318
Betty,34.767382,-77.425318
Hannah,34.767382,-77.425318
Isaac,34.767382,-77.425318
Peter,34.767382,-77.425318
George,34.767382,-77.425318
Maria,34.767382,-77.425318
Harry,34.767382,-77.425318
Lewis,34.767382,-77.425318
Hector,34.767382,-77.425318
Ben,34.767382,-77.425318
Henry,34.767382,-77.425318
Lucy,34.767382,-77.425318
York,34.767382,-77.425318
Carer,34.767382,-77.425318
Edmond,34.767382,-77.425318
Richard,34.767382,-77.425318
Adam,34.767382,-77.425318
Hercules,34.767382,-77.425318
Solomon,34.767382,-77.425318
John,34.767382,-77.425318
Calvin,34.767382,-77.425318
Washington,34.767382,-77.425318
Horace,34.767382,-77.425318
Esther,34.857826,-76.573506
Cuff,34.857826,-76.573506
David,34.857826,-76.573506
Moses,34.857826,-76.573506
Daniel,34.857826,-76.573506
Kate,34.857826,-76.573506
Gloster,34.857826,-76.573506
Bate,34.857826,-76.573506
Grace,34.857826,-76.573506
Tom,34.857826,-76.573506
Hugh,34.857826,-76.573506
Jim,34.857826,-76.573506
Isaac,34.857826,-76.573506
Alford,34.857826,-76.573506
Daniel,35.00733,-79.723541
Manual,35.00733,-79.723541
Lawrence,35.00733,-79.723541
Ben,35.00733,-79.723541
Jim,35.00733,-79.723541
Carolina,35.00733,-79.723541
George,35.00733,-79.723541
Wilson,35.00733,-79.723541
Jordan,35.00733,-79.723541
Jack,35.00733,-79.723541
Sarah,35.00733,-79.723541
Hannah,35.00733,-79.723541
Bob,35.00733,-79.723541
Cader,35.00733,-79.723541
Simon,35.008521,-78.3185
Penny,35.237385,-77.657882
George,35.237385,-77.657882
Providence,35.237385,-77.657882
Sukey,35.237385,-77.657882
Jerry,35.237385,-77.657882
Dimbo,35.237385,-77.657882
Lewis,35.237385,-77.657882
Isaac,35.237385,-77.657882
Kasey,35.237385,-77.657882
Scipio,35.237385,-77.657882
Ephraim,35.237385,-77.657882
Jim,35.237385,-77.657882
Millly,35.237385,-77.657882
New,35.237385,-77.657882
Cullen,35.237385,-77.657882
Manuel,35.237385,-77.657882
Chloe,35.237385,-77.657882
Roxana,35.237385,-77.657882
Peter,35.346033,-80.199807
Jack,35.367308,-77.986545
Tom,35.367308,-77.986545
Fereby,35.367308,-77.986545
Moses,35.367308,-77.986545
Jacob,35.367308,-77.986545
Ephraim,35.367308,-77.986545
Mark,35.367308,-77.986545
Peter,35.367308,-77.986545
Theophilis,35.367308,-77.986545
Robbin,35.367308,-77.986545
Calvin,35.367308,-77.986545
Levil,35.367308,-77.986545
Mary,35.367308,-77.986545
Michael,35.367308,-77.986545
Bill,35.543253,-76.287716
Daniel,35.543253,-76.287716
Marting,35.543253,-76.287716
Albert,35.543253,-76.287716
Abram,35.602455,-77.373422
Jim,35.602455,-77.373422
Gilford,35.602455,-77.373422
Dave,35.602455,-77.373422
Peggy,35.602455,-77.373422
Mark,35.602455,-77.373422
Jacob,35.602455,-77.373422
Jerry,35.602455,-77.373422
Anderson,35.602455,-77.373422
Frank,35.602455,-77.373422
Chaney,35.602455,-77.373422
Lazarus,35.602455,-77.373422
Tom,35.602455,-77.373422
Kitt,35.619006,-80.503229
Anthony,35.619006,-80.503229
Lizza,35.619006,-80.503229
Sally,35.619006,-80.503229
George,35.619006,-80.503229
Davy,35.619006,-80.503229
Jacob,35.619006,-80.503229
Neptune,35.619006,-80.503229
Payton,35.619006,-80.503229
Irena,35.619006,-80.503229
Anniky,35.619006,-80.503229
Joe,35.619006,-80.503229
Moses,35.619006,-80.503229
Sam,35.619006,-80.503229
Easter,35.619006,-80.503229
Zeek,35.619006,-80.503229
Scipio,35.619006,-80.503229
Tom,35.619006,-80.503229
Brister,35.619006,-80.503229
Alfred,35.619006,-80.503229
Ki,35.619006,-80.503229
Bill,35.619006,-80.503229
Jack,35.619006,-80.503229
Gabriel,35.619006,-80.503229
Sampson,35.619006,-80.503229
Allen,35.69611,-79.812689
Isaac,35.69611,-79.812689
Harry,35.69611,-79.812689
Anthony,35.69611,-79.812689
Dave,35.69611,-79.812689
Elijah,35.69611,-79.812689
Jesse,35.69611,-79.812689
Stephen,35.69611,-79.812689
Henry,35.69611,-79.812689
David,35.69611,-79.812689
Mills,35.69611,-79.812689
Yancy,35.69611,-79.812689
Coartney,35.713544,-77.921208
Anthony,35.825928,-76.576891
Stephen,35.825928,-76.576891
Achillis,35.825928,-76.576891
Jim,35.825928,-76.576891
Provy,35.825928,-76.576891
Dave,35.825928,-76.576891
Peter,35.837445,-77.112465
Dave,35.921582,-82.296633
Jesse,35.921582,-82.296633
Tom,35.921582,-82.296633
Ayrs,35.92759,-76.248066
Isaac,36.068838,-79.099462
Jim,36.068838,-79.099462
Sam,36.068838,-79.099462
George,36.068838,-79.099462
Bob,36.068838,-79.099462
Priscilla,36.068838,-79.099462
Kimber,36.068838,-79.099462
Sylva,36.068838,-79.099462
Ben,36.068838,-79.099462
Dave,36.068838,-79.099462
Jack,36.068838,-79.099462
Samuel,36.068838,-79.099462
Crawford,36.068838,-79.099462
Dick,36.068838,-79.099462
Sally,36.068838,-79.099462
Needham,36.068838,-79.099462
Summer,36.068838,-79.099462
Kinchelow,36.068838,-79.099462
Osborn,36.068838,-79.099462
Amos,36.068838,-79.099462
Griffin,36.068838,-79.099462
Charles,36.068838,-79.099462
Lewis,36.068838,-79.099462
Tom,36.077804,-76.9588
Lewis,36.077804,-76.9588
Tempy,36.077804,-76.9588
Daniel,36.077804,-76.9588
Abraham,36.077804,-76.9588
Emily,36.077804,-76.9588
Harry,36.161773,-76.638552
Joe,36.161773,-76.638552
Fed,36.161773,-76.638552
Jack,36.161773,-76.638552
Luke,36.161773,-76.638552
Mingo,36.161773,-76.638552
Peter,36.161773,-76.638552
Sam,36.161773,-76.638552
Cherry,36.161773,-76.638552
Hanse,36.161773,-76.638552
Isaac,36.161773,-76.638552
Lucy,36.161773,-76.638552
Dave,36.161773,-76.638552
Affa,36.161773,-76.638552
Jesse,36.161773,-76.638552
Clarissa,36.161773,-76.638552
Mariam,36.161773,-76.638552
John,36.161773,-76.638552
Hughes,36.161773,-76.638552
Bill,36.161773,-76.638552
Giles,36.161773,-76.638552
Henry,36.161773,-76.638552
Jim,36.161773,-76.638552
Derry,36.161773,-76.638552
Jerry,36.161773,-76.638552
Azzy,36.161773,-76.638552
Antony,36.161773,-76.638552
Lewis,36.161865,-81.166003
Miles,36.161865,-81.166003
Peter,36.183495,-76.472812
Flora,36.183495,-76.472812
Joe,36.183495,-76.472812
Eve,36.183495,-76.472812
Sall,36.183495,-76.472812
George,36.26963,-77.648392
Fred,36.26963,-77.648392
John,36.26963,-77.648392
Austin,36.26963,-77.648392
Kinchen,36.26963,-77.648392
Pleasant,36.26963,-77.648392
Polly,36.26963,-77.648392
Harris,36.26963,-77.648392
Moses,36.26963,-77.648392
Nat,36.26963,-77.648392
Peter,36.26963,-77.648392
Adaline,36.26963,-77.648392
Arnol,36.26963,-77.648392
Cory,36.26963,-77.648392
Emily,36.26963,-77.648392
Fanny,36.26963,-77.648392
King,36.26963,-77.648392
Nanny,36.26963,-77.648392
Daniel,36.26963,-77.648392
Crawford,36.26963,-77.648392
Charles,36.26963,-77.648392
Cinderella,36.26963,-77.648392
Frank,36.26963,-77.648392
Arthur,36.26963,-77.648392
Creecy,36.26963,-77.648392
Lewis,36.26963,-77.648392
Ben,36.26963,-77.648392
Harry,36.26963,-77.648392
Simon,36.26963,-77.648392
Amos,36.26963,-77.648392
Caesar,36.26963,-77.648392
William,36.26963,-77.648392
Wiley,36.26963,-77.648392
Isaac,36.26963,-77.648392
Manuel,36.285807,-76.223765
Harriet,36.285807,-76.223765
Edmund,36.285807,-76.223765
Jane,36.285807,-76.223765
Henry,36.285807,-76.223765
Gilbert,36.333825,-78.655305
Dick,36.333825,-78.655305
Charles,36.333825,-78.655305
Humprhey,36.333825,-78.655305
John,36.333825,-78.655305
Anderson,36.333825,-78.655305
Ransom,36.333825,-78.655305
Pleasant,36.333825,-78.655305
Thompson,36.333825,-78.655305
Willie,36.333825,-78.655305
Gid,36.333825,-78.655305
Jane,36.333825,-78.655305
Jordan,36.333825,-78.655305
Robin,36.333825,-78.655305
Bill,36.333825,-78.655305
Peter,36.333825,-78.655305
Martha,36.333825,-78.655305
Anderson,36.359582,-76.997139
John,36.359582,-76.997139
Braxton,36.382342,-77.417189
Jim,36.382342,-77.417189
Sam,36.386752,-78.983214
Edmond,36.386752,-78.983214
Ben,36.386752,-78.983214
Tabitha,36.386752,-78.983214
Sawney,36.386752,-78.983214
Solomon,36.386752,-78.983214
Jim,36.386752,-78.983214
Alexander,36.386752,-78.983214
Cary,36.386752,-78.983214
Henry,36.386752,-78.983214
Allen,36.386752,-78.983214
Jacob,36.389888,-80.723162
Isaac,36.394785,-79.763569
John,36.394785,-79.763569
Abby,36.394785,-79.763569
Allen,36.394785,-79.763569
Jim,36.394785,-79.763569
Billy,36.394785,-79.763569
Dick,36.394785,-79.763569
Abram,36.394785,-79.763569
Solomon,36.394785,-79.763569
Moses,36.394785,-79.763569
Alford,36.402877,-78.159693
Phagon,36.402877,-78.159693
Shadrack,36.402877,-78.159693
Jack,36.402877,-78.159693
Ned,36.402877,-78.159693
Austin,36.402877,-78.159693
Fed,36.402877,-78.159693
Ferry,36.402877,-78.159693
Nelson,36.402877,-78.159693
Elan,36.402877,-78.159693
Dick,36.402877,-78.159693
Moses,36.402877,-78.159693
Sam,36.404389,-80.208031
Leonard,36.404389,-80.208031
Croatan,36.439381,-76.088869
Merica,36.439381,-76.088869
Abram,36.439381,-76.088869
Nero,34.093877,-78.1613
Isaac,34.093877,-78.1613
Celia,34.321375,-78.684081
Brister,34.321375,-78.684081
Scip,34.622239,-78.602589
Nelson,34.622239,-78.602589
Sally,34.622239,-78.602589
Adam,34.622239,-78.602589
Joe,34.622239,-78.602589
Peter,34.622239,-78.602589
Bob,34.622239,-78.602589
Dick,34.622239,-78.602589
Alick,34.622239,-78.602589
Luner,34.622239,-78.602589
Ned,34.955589,-77.960073
Caleb,34.955589,-77.960073
Joe,34.955589,-77.960073
Arthur,34.955589,-77.960073
Esther,34.955589,-77.960073
Jack,34.955589,-77.960073
Mose,34.955589,-77.960073
Willis,34.955634,-80.076277
Hardy,34.955634,-80.076277
Sarah,34.955634,-80.076277
Stepny,34.955634,-80.076277
Dolly,34.955634,-80.076277
Joe,34.955634,-80.076277
Ellis,34.955634,-80.076277
Abram,34.955634,-80.076277
Ephraim,34.955634,-80.076277
Phillis,34.955634,-80.076277
Tom,34.955634,-80.076277
Peter,34.955634,-80.076277
Deen,34.955634,-80.076277
Jinny,34.955634,-80.076277
Hauzer,34.955634,-80.076277
Jim,34.955634,-80.076277
Sam,34.955634,-80.076277
Isaac,35.062555,-78.876896
Sam,35.062555,-78.876896
Jim,35.062555,-78.876896
Reddock,35.062555,-78.876896
Caesar,35.062555,-78.876896
Penny,35.062555,-78.876896
Sandy,35.062555,-78.876896
Simon,35.062555,-78.876896
Tener,35.062555,-78.876896
Shadrack,35.062555,-78.876896
Willis,35.062555,-78.876896
Ben,35.062555,-78.876896
Bill,35.062555,-78.876896
Frank,35.062555,-78.876896
Peter,35.062555,-78.876896
Charles,35.062555,-78.876896
Stephen,35.062555,-78.876896
Charles:,35.062555,-78.876896
Ephraim,35.062555,-78.876896
Lovelace,35.062555,-78.876896
Tom,35.062555,-78.876896
Judy,35.062555,-78.876896
Dick,35.062555,-78.876896
Jemimah,35.062555,-78.876896
Balaam,35.062555,-78.876896
Dublin,35.062555,-78.876896
Satira,35.062555,-78.876896
Sanders,35.062555,-78.876896
Jessee,35.062555,-78.876896
Dave,35.062555,-78.876896
Hampton,35.062555,-78.876896
Hector,35.062555,-78.876896
Clary,35.062555,-78.876896
Jacob,35.062555,-78.876896
Ann,35.062555,-78.876896
Febabry,35.062555,-78.876896
Henry,35.062555,-78.876896
John,35.062555,-78.876896
Edy,35.062555,-78.876896
Dick,35.073583,-77.357975
Toney,35.073583,-77.357975
Anic,35.073583,-77.357975
Elias,35.073583,-77.357975
Floresco,35.073583,-77.357975
Jack,35.073583,-77.357975
Kesiah,35.073583,-77.357975
London,35.073583,-77.357975
Cot,35.073583,-77.357975
Jerry,35.073583,-77.357975
Jim,35.073583,-77.357975
John,35.073583,-77.357975
